Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Where did the incident take place?,Enrollment_SchoolID,Ethnicity,fre,Gender,Grade_Level,LunchStatus,Student Identifier,Year,Term,dr.studentminors
Bayside,9:00am - 10:00am,11/19/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,F,4,F,A14911667BZD,2024-2025,2Q,2
Bayside,8:00am - 9:00am,12/12/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,F,4,F,A14911667BZD,2024-2025,2Q,3
Bayside,12:00pm - 1:00pm,09/12/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,3,F,A15319214BZD,2024-2025,1Q,1
Bayside,12:00pm - 1:00pm,11/12/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,3,P,A15319214BZD,2024-2025,2Q,1
Bayside,8:00am - 9:00am,12/18/2024,Minor Violation (5 times in the same quarter),Disruption,,Assembly/Special Event/Field Trip,15,W,W,M,3,F,A15973106BZD,2024-2025,2Q,1
Bayside,2:00pm -3:00pm,01/08/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Gym,15,W,W,M,3,F,A15973106BZD,2024-2025,3Q,1
Bayside,11:00am - 12:00pm,10/31/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15,W,W,M,2,F,A15727337BZD,2024-2025,2Q,1
Bayside,9:00am - 10:00am,09/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,4,P,A13383923BZD,2024-2025,1Q,1
Bayside,1:00pm - 2:00pm,12/16/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,15,W,W,M,4,P,A13383923BZD,2024-2025,2Q,1
Bayside,2:00pm -3:00pm,02/06/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,F,4,F,A14850677BZD,2024-2025,3Q,1
Hill Valley High School,10:00am-11:00am,12/18/2024,Minor Violation (5 times in the same quarter),Other,,Gym,5,H,"W,H",M,0,F,A16823768BZD,2024-2025,2Q,1
Shermer High School,1:00pm - 2:00pm,04/30/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,W,W,M,10,P,A12819251BZD,2023-2024,4Q,1
Springfield Elementary,9:00am - 10:00am,04/15/2024,Minor Violation (5 times in the same quarter),Other,,Bathroom,17,H,"W,H",F,0,F,A16350779BZD,2023-2024,4Q,1
Springfield Elementary,10:00am-11:00am,04/25/2024,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,17,H,"W,H",F,0,F,A16350779BZD,2023-2024,4Q,2
Shermer High School,8:00am - 9:00am,03/19/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105,B,"B,W",M,6,F,A14064896BZD,2023-2024,4Q,1
Shermer High School,9:00am - 10:00am,03/25/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,B,"B,W",M,6,F,A14064896BZD,2023-2024,4Q,2
Shermer High School,1:00pm - 2:00pm,04/04/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,B,"B,W",M,6,F,A14064896BZD,2023-2024,4Q,3
Shermer High School,1:00pm - 2:00pm,04/30/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,B,"B,W",M,6,F,A14064896BZD,2023-2024,4Q,4
Shermer High School,1:00pm - 2:00pm,05/02/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,B,"B,W",M,6,F,A14064896BZD,2023-2024,4Q,4
Shermer High School,11:00am - 12:00pm,05/06/2024,Major Violation,,Weapons,Classroom,105,B,"B,W",M,6,F,A14064896BZD,2023-2024,4Q,3
Shermer High School,12:00pm - 1:00pm,08/23/2024,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105,B,"B,W",M,7,F,A14064896BZD,2024-2025,1Q,1
Shermer High School,1:00pm - 2:00pm,08/23/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105,B,"B,W",M,7,F,A14064896BZD,2024-2025,1Q,2
Shermer High School,12:00pm - 1:00pm,08/23/2024,Major Violation,,Continued Misconduct,Classroom,105,B,"B,W",M,7,F,A14064896BZD,2024-2025,1Q,2
Shermer High School,12:00pm - 1:00pm,11/12/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,B,"B,W",M,7,F,A14064896BZD,2024-2025,2Q,1
Shermer High School,12:00pm - 1:00pm,11/13/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,B,"B,W",M,7,F,A14064896BZD,2024-2025,2Q,2
Shermer High School,9:00am - 10:00am,11/21/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105,B,"B,W",M,7,F,A14064896BZD,2024-2025,2Q,3
