Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Ethnicity,Gender,Grade_Level,LunchStatus,Student_Number
Hill Valley High School,11:00am - 12:00pm,08/23/2024,Minor Violation (5 times in the same quarter),Other,,W,M,3,F,A14434376BZD
Bayside,11:00am - 12:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,F,A16417805BZD
Bayside,9:00am - 10:00am,09/16/2024,Minor Violation (5 times in the same quarter),Other,,W,F,4,F,A15142526BZD
Bayside,9:00am - 10:00am,09/16/2024,Minor Violation (5 times in the same quarter),Other,,W,F,4,F,A15142052BZD
Shermer High School,9:00am - 10:00am,09/16/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,8,F,A13607390BZD
Rydell High School,11:00am - 12:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,A,F,1,F,A15877265BZD
Bayside,12:00pm - 1:00pm,09/16/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A14850719BZD
Bayside,11:00am - 12:00pm,09/10/2024,Major Violation,,Continued Misconduct,W,M,3,F,A14988029BZD
Hill Valley High School,10:00am-11:00am,09/05/2024,Major Violation,,Continued Misconduct,W,M,3,F,A14434376BZD
Bayside,12:00pm - 1:00pm,09/12/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,3,F,A15319214BZD
Bayside,12:00pm - 1:00pm,09/12/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,3,F,A15598055BZD
Bayside,11:00am - 12:00pm,09/12/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,3,F,A15378911BZD
Bayside,11:00am - 12:00pm,09/16/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15465956BZD
Shermer High School,1:00pm - 2:00pm,09/16/2024,Minor Violation (5 times in the same quarter),Insubordination,,W,M,8,F,A13607390BZD
Bayside,2:00pm -3:00pm,09/16/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,3,F,A15283073BZD
